Microorganismo,ANTIMICROBIANO,R,I,S,X,Total general,Clasificacion_bacter
Staphylococcus sciuri,Tigeciclina,,,,2,2,Positivo
Staphylococcus sciuri,Trimetoprim-Sulfametoxazol,4,,2,,6,Positivo
Staphylococcus sciuri,Vancomicina,1,,5,,6,Positivo
Total Staphylococcus sciuri,,47,4,35,10,96,
Staphylococcus spp.,Cefoxitina,3,,,,3,Positivo
Staphylococcus spp.,Ciprofloxacino,1,,2,,3,Positivo
Staphylococcus spp.,Clindamicina,1,,2,,3,Positivo
Staphylococcus spp.,Cloranfenicol,,1,2,,3,Positivo
Staphylococcus spp.,Daptomicina,,,2,,2,Positivo
Staphylococcus spp.,Eritromicina,1,1,1,,3,Positivo
Staphylococcus spp.,Gentamicina,,,3,,3,Positivo
Staphylococcus spp.,Linezolida,,,3,,3,Positivo
Staphylococcus spp.,Minociclina,1,,2,,3,Positivo
Staphylococcus spp.,Nitrofurantoína,,1,2,,3,Positivo
Staphylococcus spp.,Norfloxacino,1,,2,,3,Positivo
Staphylococcus spp.,Oxacilina,3,,,,3,Positivo
Staphylococcus spp.,Rifampicina,1,,2,,3,Positivo
Staphylococcus spp.,Teicoplanin,,,3,,3,Positivo
Staphylococcus spp.,Trimetoprim-Sulfametoxazol,1,,2,,3,Positivo
Staphylococcus spp.,Vancomicina,,,3,,3,Positivo
Total Staphylococcus spp.,,13,3,31,,47,
Staphylococcus xylosus,Cefoxitina,1,,,,1,Positivo
Staphylococcus xylosus,Ciprofloxacino,,,1,,1,Positivo
Staphylococcus xylosus,Clindamicina,,,1,,1,Positivo
Staphylococcus xylosus,Cloranfenicol,,,1,,1,Positivo
Staphylococcus xylosus,Daptomicina,,,1,,1,Positivo
Staphylococcus xylosus,Eritromicina,,,1,,1,Positivo
Staphylococcus xylosus,Gentamicina,,,1,,1,Positivo
Staphylococcus xylosus,Linezolida,,,1,,1,Positivo
Staphylococcus xylosus,Minociclina,,,1,,1,Positivo
Staphylococcus xylosus,Nitrofurantoína,,,1,,1,Positivo
Staphylococcus xylosus,Norfloxacino,,,1,,1,Positivo
Staphylococcus xylosus,Oxacilina,1,,,,1,Positivo
Staphylococcus xylosus,Rifampicina,,,1,,1,Positivo
Staphylococcus xylosus,Teicoplanin,,,1,,1,Positivo
Staphylococcus xylosus,Trimetoprim-Sulfametoxazol,,,1,,1,Positivo
Staphylococcus xylosus,Vancomicina,,,1,,1,Positivo
Total Staphylococcus xylosus,,2,,14,,16,
Streptococcus agalactiae (Strep. grupo B),Amoxicilina,,,4,,4,Positivo
Streptococcus agalactiae (Strep. grupo B),Cefepima,,,3,,3,Positivo
Streptococcus agalactiae (Strep. grupo B),Cefotaximo,,,4,,4,Positivo
Streptococcus agalactiae (Strep. grupo B),Clindamicina,1,,3,2,6,Positivo
Streptococcus agalactiae (Strep. grupo B),Cloranfenicol,,,4,2,6,Positivo
Streptococcus agalactiae (Strep. grupo B),Eritromicina,3,,1,2,6,Positivo
Streptococcus agalactiae (Strep. grupo B),Levofloxacino,1,,5,,6,Positivo
Streptococcus agalactiae (Strep. grupo B),Linezolida,,,6,,6,Positivo
Streptococcus agalactiae (Strep. grupo B),Meropenem,,,6,,6,Positivo
Streptococcus agalactiae (Strep. grupo B),Penicilina G,,,4,,4,Positivo
Streptococcus agalactiae (Strep. grupo B),Tetraciclina,3,,3,,6,Positivo
Streptococcus agalactiae (Strep. grupo B),Vancomicina,,,6,,6,Positivo
Total Streptococcus agalactiae (Strep. grupo B),,8,,49,6,63,
Streptococcus cristatus,Amoxicilina,,,1,,1,Positivo
Streptococcus cristatus,Cefepima,1,,,,1,Positivo
Streptococcus cristatus,Cefotaximo,,,1,,1,Positivo
Streptococcus cristatus,Clindamicina,1,,,,1,Positivo
Streptococcus cristatus,Cloranfenicol,,,1,,1,Positivo
Streptococcus cristatus,Levofloxacino,,,1,,1,Positivo
Streptococcus cristatus,Linezolida,,,1,,1,Positivo
Streptococcus cristatus,Meropenem,,,1,,1,Positivo
Streptococcus cristatus,Penicilina G,,,1,,1,Positivo
Streptococcus cristatus,Tetraciclina,1,,,,1,Positivo
Total Streptococcus cristatus,,3,,7,,10,
Streptococcus dysgalactiae ssp equisimilis,Amoxicilina,,,1,,1,Positivo
Streptococcus dysgalactiae ssp equisimilis,Cefepima,,,1,,1,Positivo
Streptococcus dysgalactiae ssp equisimilis,Cefotaximo,,,1,,1,Positivo
Streptococcus dysgalactiae ssp equisimilis,Clindamicina,,,1,,1,Positivo
Streptococcus dysgalactiae ssp equisimilis,Cloranfenicol,,,1,,1,Positivo
Streptococcus dysgalactiae ssp equisimilis,Eritromicina,,,1,,1,Positivo
Streptococcus dysgalactiae ssp equisimilis,Levofloxacino,,,1,,1,Positivo
Streptococcus dysgalactiae ssp equisimilis,Linezolida,,,1,,1,Positivo
Streptococcus dysgalactiae ssp equisimilis,Meropenem,,,1,,1,Positivo
Streptococcus dysgalactiae ssp equisimilis,Penicilina G,,,1,,1,Positivo
Streptococcus dysgalactiae ssp equisimilis,Tetraciclina,1,,,,1,Positivo
Streptococcus dysgalactiae ssp equisimilis,Vancomicina,,,1,,1,Positivo
Total Streptococcus dysgalactiae ssp equisimilis,,1,,11,,12,
Streptococcus gallolyticus ssp pasteurianus/infantarius,Amoxicilina,,,1,,1,Positivo
Streptococcus gallolyticus ssp pasteurianus/infantarius,Cefepima,,,1,,1,Positivo
Streptococcus gallolyticus ssp pasteurianus/infantarius,Cefotaximo,,,1,,1,Positivo
Streptococcus gallolyticus ssp pasteurianus/infantarius,Clindamicina,1,,,,1,Positivo
Streptococcus gallolyticus ssp pasteurianus/infantarius,Cloranfenicol,,,1,,1,Positivo
Streptococcus gallolyticus ssp pasteurianus/infantarius,Eritromicina,1,,,,1,Positivo
Streptococcus gallolyticus ssp pasteurianus/infantarius,Levofloxacino,,,1,,1,Positivo
Streptococcus gallolyticus ssp pasteurianus/infantarius,Linezolida,,,1,,1,Positivo
Streptococcus gallolyticus ssp pasteurianus/infantarius,Meropenem,,,1,,1,Positivo
Streptococcus gallolyticus ssp pasteurianus/infantarius,Penicilina G,,,1,,1,Positivo
Streptococcus gallolyticus ssp pasteurianus/infantarius,Tetraciclina,1,,,,1,Positivo
Streptococcus gallolyticus ssp pasteurianus/infantarius,Vancomicina,,,1,,1,Positivo
Total Streptococcus gallolyticus ssp pasteurianus/infantarius,,3,,9,,12,
Streptococcus grupo A (Strep. pyogenes),Amoxicilina,,,1,,1,Positivo
Streptococcus grupo A (Strep. pyogenes),Cefepima,,,1,,1,Positivo
Streptococcus grupo A (Strep. pyogenes),Cefotaximo,,,1,,1,Positivo
Streptococcus grupo A (Strep. pyogenes),Clindamicina,,,1,,1,Positivo
Streptococcus grupo A (Strep. pyogenes),Cloranfenicol,,,1,,1,Positivo
Streptococcus grupo A (Strep. pyogenes),Eritromicina,,,1,,1,Positivo
Streptococcus grupo A (Strep. pyogenes),Levofloxacino,,,1,,1,Positivo
Streptococcus grupo A (Strep. pyogenes),Linezolida,,,1,,1,Positivo
Streptococcus grupo A (Strep. pyogenes),Meropenem,,,1,,1,Positivo
Streptococcus grupo A (Strep. pyogenes),Penicilina G,,,1,,1,Positivo
Streptococcus grupo A (Strep. pyogenes),Tetraciclina,,,1,,1,Positivo
Streptococcus grupo A (Strep. pyogenes),Vancomicina,,,1,,1,Positivo
Total Streptococcus grupo A (Strep. pyogenes),,,,12,,12,
Streptococcus pyogenes (Strep. grupo A),Amoxicilina,,,2,,2,Positivo
Streptococcus pyogenes (Strep. grupo A),Cefepima,,,2,,2,Positivo
Streptococcus pyogenes (Strep. grupo A),Cefotaximo,,,2,,2,Positivo
Streptococcus pyogenes (Strep. grupo A),Clindamicina,1,,1,,2,Positivo
Streptococcus pyogenes (Strep. grupo A),Cloranfenicol,,,2,,2,Positivo
Streptococcus pyogenes (Strep. grupo A),Eritromicina,1,,1,,2,Positivo
Streptococcus pyogenes (Strep. grupo A),Levofloxacino,,1,1,,2,Positivo
Streptococcus pyogenes (Strep. grupo A),Linezolida,,,2,,2,Positivo
Streptococcus pyogenes (Strep. grupo A),Meropenem,,,2,,2,Positivo
Streptococcus pyogenes (Strep. grupo A),Penicilina G,,,2,,2,Positivo
Streptococcus pyogenes (Strep. grupo A),Tetraciclina,1,,1,,2,Positivo
Streptococcus pyogenes (Strep. grupo A),Vancomicina,,,2,,2,Positivo
Total Streptococcus pyogenes (Strep. grupo A),,3,1,20,,24,
Streptococcus sanguinis,Amoxicilina,,2,,,2,Positivo
Streptococcus sanguinis,Cefepima,,,2,,2,Positivo
Streptococcus sanguinis,Cefotaximo,,,2,,2,Positivo
Streptococcus sanguinis,Clindamicina,2,,,,2,Positivo
Streptococcus sanguinis,Cloranfenicol,,,2,,2,Positivo
Streptococcus sanguinis,Eritromicina,2,,,,2,Positivo
Streptococcus sanguinis,Levofloxacino,2,,,,2,Positivo
Streptococcus sanguinis,Linezolida,,,2,,2,Positivo
Streptococcus sanguinis,Penicilina G,,2,,,2,Positivo
Streptococcus sanguinis,Tetraciclina,2,,,,2,Positivo
Streptococcus sanguinis,Vancomicina,,,2,,2,Positivo
Total Streptococcus sanguinis,,8,4,10,,22,
Streptococcus sobrinus,Amoxicilina,1,,,,1,Positivo
Streptococcus sobrinus,Cefepima,1,,,,1,Positivo
Streptococcus sobrinus,Cefotaximo,1,,,,1,Positivo
Streptococcus sobrinus,Clindamicina,1,,,,1,Positivo
Streptococcus sobrinus,Cloranfenicol,,1,,,1,Positivo
Streptococcus sobrinus,Eritromicina,1,,,,1,Positivo
Streptococcus sobrinus,Levofloxacino,1,,,,1,Positivo
Streptococcus sobrinus,Linezolida,,,1,,1,Positivo
Streptococcus sobrinus,Penicilina G,1,,,,1,Positivo
Streptococcus sobrinus,Tetraciclina,1,,,,1,Positivo
Streptococcus sobrinus,Vancomicina,,,1,,1,Positivo
Total Streptococcus sobrinus,,8,1,2,,11,
Total general,,26984,2472,34449,4421,68326,
