Microorganismo,ANTIMICROBIANO,R,I,S,X,Total general,Clasificacion_bacter
Citrobacter koseri,Piperacilina-Tazobactam,1,,4,,5,Negativo
Citrobacter koseri,Tetraciclina,1,,1,,2,Negativo
Citrobacter koseri,Tigeciclina,2,,1,,3,Negativo
Citrobacter koseri,Trimetoprim-Sulfametoxazol,2,,3,,5,Negativo
Total Citrobacter koseri,,39,5,44,6,94,
Salmonella spp.,Amikacina,5,,,,5,Negativo
Salmonella spp.,Ampicilina,1,,4,,5,Negativo
Salmonella spp.,Ampicilina-Sulbactam,1,,4,,5,Negativo
Salmonella spp.,Cefazolina,5,,,,5,Negativo
Salmonella spp.,Cefepima,,1,4,,5,Negativo
Salmonella spp.,Cefoxitina,5,,,,5,Negativo
Salmonella spp.,Ceftazidima,1,,4,,5,Negativo
Salmonella spp.,Ceftriaxona,1,,4,,5,Negativo
Salmonella spp.,Ciprofloxacino,3,1,,1,5,Negativo
Salmonella spp.,Colistina,1,,,4,5,Negativo
Salmonella spp.,Ertapenem,1,,4,,5,Negativo
Salmonella spp.,Gentamicina,5,,,,5,Negativo
Salmonella spp.,Imipenem,1,,4,,5,Negativo
Salmonella spp.,Levofloxacino,2,,,3,5,Negativo
Salmonella spp.,Meropenem,,,5,,5,Negativo
Salmonella spp.,Piperacilina-Tazobactam,,,5,,5,Negativo
Salmonella spp.,Tigeciclina,,1,4,,5,Negativo
Salmonella spp.,Trimetoprim-Sulfametoxazol,1,,4,,5,Negativo
Total Salmonella spp.,,33,3,46,8,90,
Pantoea agglomerans,Amikacina,1,,3,,4,Negativo
Pantoea agglomerans,Amoxicilina-Clavulanato,1,,1,,2,Negativo
Pantoea agglomerans,Ampicilina,2,,2,,4,Negativo
Pantoea agglomerans,Ampicilina-Sulbactam,2,,,,2,Negativo
Pantoea agglomerans,Cefazolina,3,1,,,4,Negativo
Pantoea agglomerans,Cefepima,3,,1,,4,Negativo
Pantoea agglomerans,Cefoxitina,4,,,,4,Negativo
Pantoea agglomerans,Ceftazidima,3,,1,,4,Negativo
Pantoea agglomerans,Ceftriaxona,3,,1,,4,Negativo
Pantoea agglomerans,Cefuroxima,1,,1,,2,Negativo
Pantoea agglomerans,Ciprofloxacino,3,1,,,4,Negativo
Pantoea agglomerans,Colistina,2,,,,2,Negativo
Pantoea agglomerans,Ertapenem,3,,1,,4,Negativo
Pantoea agglomerans,Gentamicina,3,,1,,4,Negativo
Pantoea agglomerans,Levofloxacino,3,,,1,4,Negativo
Pantoea agglomerans,Meropenem,3,,1,,4,Negativo
Pantoea agglomerans,Nitrofurantoína,,1,1,,2,Negativo
Pantoea agglomerans,Norfloxacino,1,,1,,2,Negativo
Pantoea agglomerans,Piperacilina-Tazobactam,2,,2,,4,Negativo
Pantoea agglomerans,Tetraciclina,1,,1,,2,Negativo
Pantoea agglomerans,Tigeciclina,,,1,1,2,Negativo
Pantoea agglomerans,Trimetoprim-Sulfametoxazol,2,,2,,4,Negativo
Total Pantoea agglomerans,,46,3,21,2,72,
Serratia fonticola,Amikacina,,,4,,4,Negativo
Serratia fonticola,Amoxicilina-Clavulanato,2,,,,2,Negativo
Serratia fonticola,Ampicilina,4,,,,4,Negativo
